cds	logFC	adj.P.Val
UBC_DN4113_c0_g1_i18.p1	10.5763664341681	0.00625486512783791
UBC_DN11401_c0_g1_i1.p1	-10.5717269405878	0.000349022367680231
UBC_DN1442_c0_g1_i4.p1	10.5649815450622	0.0119839656281614
UBC_DN5025_c0_g3_i1.p1	-10.5299291532473	0.000654804297977269
UBC_DN4501_c0_g1_i6.p1	10.524052803101	0.00187073266641788
UBC_DN1277_c1_g4_i1.p1	10.5222600824884	0.00699818143663195
UBC_DN2559_c0_g2_i5.p1	-10.5187235864599	0.000694371995160464
UBC_DN4462_c0_g1_i4.p1	-10.5186615325247	0.000373994200602256
UBC_DN5126_c0_g1_i5.p1	10.5009326433642	0.0185270266644673
UBC_DN22874_c0_g1_i1.p1	10.493250089068	0.00655300459311862
UBC_DN726_c0_g3_i1.p1	10.493035622654	0.00308592742849359
UBC_DN4847_c0_g1_i6.p1	10.4922266838039	0.00388785778605461
UBC_DN144_c0_g1_i16.p1	10.4883493849362	0.000178546375574024
UBC_DN5706_c0_g1_i2.p1	-10.4672230781927	0.00074657670290075
UBC_DN8614_c0_g1_i6.p1	10.457482076846	0.00256463835315599
UBC_DN7340_c0_g1_i2.p1	10.4451694637969	0.0103969034061242
UBC_DN1992_c0_g1_i2.p1	10.4397780387647	0.0240324312463246
UBC_DN5412_c1_g1_i1.p1	10.4391802015295	0.00145811350913553
UBC_DN5288_c0_g1_i11.p1	-10.4358583062771	0.00106166491977839
UBC_DN1270_c1_g1_i1.p1	10.4167159621941	0.000342221259716751
UBC_DN3624_c0_g1_i9.p1	10.4124618617846	0.000325690179149871
UBC_DN8256_c0_g1_i1.p1	10.4057191730961	0.000262275768884685
UBC_DN1345_c0_g1_i4.p1	-10.394904121401	0.00188098827277312
UBC_DN2860_c0_g1_i10.p1	-10.3898347129837	0.000293679769862036
UBC_DN1849_c0_g3_i3.p1	10.3842925527534	0.00196078517084703
UBC_DN884_c2_g1_i1.p1	10.3837517892364	0.00120128884911591
UBC_DN2204_c0_g1_i2.p1	10.3824067061567	0.0426164808473418
UBC_DN5819_c0_g2_i1.p1	10.3793664074139	0.00579699345078254
UBC_DN7265_c0_g1_i14.p1	10.3787094756032	0.00235889483290841
UBC_DN3970_c0_g1_i1.p1	-10.3779962873253	0.0177730023725473
UBC_DN1964_c0_g1_i2.p1	10.3747504831422	0.00175594710600221
UBC_DN11567_c0_g2_i1.p1	10.3475961261268	0.00061717777700513
UBC_DN4975_c0_g1_i13.p2	10.338309005201	0.00420457515768975
UBC_DN2573_c0_g1_i2.p1	10.3114366414246	0.032500133747188
UBC_DN2186_c1_g1_i2.p1	10.3066526340557	0.0159341918960802
UBC_DN7395_c0_g1_i20.p1	10.301093535902	0.00651493163798152
UBC_DN8_c0_g2_i3.p1	-10.2989508865642	2.83054171615735e-06
UBC_DN857_c0_g1_i10.p1	10.2851526222342	0.00114725169812274
UBC_DN1898_c0_g1_i11.p1	10.2719427292573	0.00716788086346468
UBC_DN2864_c0_g1_i4.p1	10.2573885244442	0.00501700490274156
UBC_DN4765_c0_g1_i20.p1	-10.2432034889502	0.000336606054691851
UBC_DN2844_c0_g2_i2.p1	-10.2348563602347	0.00271572147837625
UBC_DN9607_c0_g1_i5.p1	-10.2318265641187	0.0207017129549153
UBC_DN1736_c0_g1_i1.p1	10.231469808985	0.000815891476774165
UBC_DN4975_c0_g1_i6.p1	10.2286585111872	0.0452471267612992
UBC_DN1153_c0_g1_i11.p1	10.2252846715586	0.048103413455652
UBC_DN114_c0_g4_i1.p1	-10.2167510060537	0.00046198333933345
UBC_DN222040_c0_g1_i1.p1	10.2129983353864	0.0127278278225392
UBC_DN5944_c0_g1_i44.p1	10.2103446180772	0.017391211937522
UBC_DN2574_c0_g4_i1.p1	10.1961010591557	0.000838862895077573
UBC_DN2227_c0_g1_i5.p1	-10.1932781875967	0.00330942461907525
UBC_DN1475_c0_g1_i2.p1	10.190519996973	0.00203112929893106
UBC_DN6128_c0_g1_i5.p1	10.1881492512205	0.00598629563412502
UBC_DN6019_c0_g1_i1.p1	10.1862825968232	0.00824272543990254
UBC_DN1321_c0_g1_i2.p1	10.1777965613928	0.0294529713007496
UBC_DN4507_c0_g1_i4.p1	10.1751372815518	0.00540860477257095
UBC_DN5904_c0_g2_i1.p1	10.1730479001539	0.00173693236335024
UBC_DN3360_c0_g2_i3.p1	10.1619077521951	0.00186856787480885
UBC_DN3942_c0_g1_i1.p1	-10.1562211638085	0.0168821988226615
